"title","address","info","totalPrice","totalSellCount","unitPrice"
"沙子口路65号","东城
       永定门 
              /板楼
                  / 1985年建成","30天成交0套
      |1套正在出租","74349元/m2","1套",""
"东四块玉南街甲9号楼","东城
       左安门 
              /塔楼/板楼
                  / 1980年建成","30天成交0套
      |0套正在出租","74357元/m2","0套",""
"景泰西里西区","东城
       永定门 
              /塔板结合
                  / 2005年建成","30天成交1套
      |7套正在出租","74437元/m2","10套",""
"管村26号院","东城
       永定门 
              /板楼/塔板结合
                  / 1997年建成","30天成交1套
      |1套正在出租","75195元/m2","2套",""
"东直门内北小街2号院","东城
       东直门 
              /塔楼
                  / 2003年建成","30天成交0套
      |4套正在出租","75303元/m2","2套",""
"革新南路2号院","东城
       永定门 
              /塔楼
                  / 1980年建成","共67个户型
        |
            30天成交0套
      |3套正在出租","75419元/m2","3套",""
"安乐林路","东城
       蒲黄榆 
              /板楼
                  / 1970年建成","30天成交0套
      |2套正在出租","75459元/m2","0套",""
"体育馆路甲8号","东城
       左安门 
              /板楼
                  / 1970年建成","30天成交0套
      |0套正在出租","76259元/m2","0套",""
"恒基中心","东城
       建国门外 
              /塔楼/塔板结合
                  / 1997年建成","30天成交0套
      |3套正在出租","76475元/m2","6套",""
"新太仓一巷","东城
       东四 
              /板楼/平房
                  / 1980年建成","30天成交0套
      |2套正在出租","76654元/m2","0套",""
"百荣嘉园","东城
       永定门 
              /塔楼/塔板结合
                  / 2015年建成","30天成交3套
      |6套正在出租","76676元/m2","7套",""
"景泰西里","东城
       永定门 
              /板楼
                  / 1981年建成","30天成交0套
      |3套正在出租","77013元/m2","2套",""
"永定门外大街","东城
       永定门 
              /板楼/平房
                  / 1970年建成","共7个户型
        |
            30天成交0套
      |0套正在出租","77146元/m2","0套",""
"东方银座","东城
       东直门 
              /塔楼/平房
                  / 2003年建成","共165个户型
        |
            30天成交0套
      |8套正在出租","77192元/m2","11套",""
"沙子口路61号","东城
       永定门 
              /板楼
                  / 1987年建成","30天成交0套
      |0套正在出租","77226元/m2","2套",""
"琉璃井路","东城
       永定门 
              /板楼/塔板结合
                  / 1940年建成","30天成交0套
      |2套正在出租","78060元/m2","1套",""
"桃杨路北里","东城
       永定门 
              /板楼
                  / 1987年建成","30天成交0套
      |1套正在出租","78126元/m2","1套",""
"沙子口路70号","东城
       永定门 
              /塔楼
                  / 1989年建成","30天成交0套
      |1套正在出租","78178元/m2","2套",""
"景泰西里65号院","东城
       永定门 
              /板楼
                  / 1985年建成","30天成交0套
      |1套正在出租","78423元/m2","0套",""
"天坛西里北区","东城
       天坛 
              /板楼
                  / 1980年建成","30天成交0套
      |0套正在出租","79789元/m2","1套",""
"左安门内大街","东城
       左安门 
              /板楼
                  / 1981年建成","30天成交0套
      |1套正在出租","79814元/m2","0套",""
"三元街19号","东城
       永定门 
              /板楼
                  / 1979年建成","30天成交0套
      |0套正在出租","80060元/m2","0套",""
"白桥苑","东城
       东花市 
              /板楼/塔板结合
                  / 1999年建成","30天成交0套
      |0套正在出租","80305元/m2","0套",""
"李村","东城
       永定门 
              /板楼
                  / 1980年建成","30天成交0套
      |3套正在出租","80508元/m2","7套",""
"新永外文化用品商城","东城
       永定门 
              /板楼/塔板结合
                  / 2005年建成","30天成交1套
      |3套正在出租","81032元/m2","3套",""
"安乐林中街","东城
       永定门 
              /板楼
                  / 1980年建成","共8个户型
        |
            30天成交1套
      |0套正在出租","81054元/m2","0套",""
"景泰东里","东城
       蒲黄榆 
              /板楼/塔板结合
                  / 1994年建成","30天成交0套
      |4套正在出租","81605元/m2","7套",""
"华德公寓","东城
       东花市 
              /塔板结合
                  / 1995年建成","30天成交0套
      |0套正在出租","81666元/m2","1套",""
"东环广场","东城
       东直门 
              /塔楼
                  / 1998年建成","30天成交1套
      |0套正在出租","81987元/m2","0套",""
"复康里","东城
       天坛 
              /板楼
                  / 1970年建成","30天成交0套
      |0套正在出租","82221元/m2","0套",""
"鼎盛园","东城
       永定门 
              /塔板结合
                  / 2005年建成","30天成交1套
      |1套正在出租","82295元/m2","2套",""
"安乐林路17号旁门","东城
       蒲黄榆 
              /板楼
                  / 1986年建成","30天成交1套
      |0套正在出租","82383元/m2","0套",""
"金鱼池西区","东城
       天坛 
              /板楼
                  / 2002年建成","30天成交1套
      |1套正在出租","82490元/m2","18套",""
"华龙美晟","东城
       永定门 
              /塔楼/塔板结合
                  / 2009年建成","共253个户型
        |
            30天成交1套
      |4套正在出租","82606元/m2","17套",""
"桃园南街10号院","东城
       永定门 
              /板楼
                  / 1980年建成","共21个户型
        |
            30天成交0套
      |0套正在出租","83198元/m2","0套",""
"领行国际","东城
       广渠门 
              /塔楼/塔板结合
                  / 2005年建成","30天成交0套
      |13套正在出租","83853元/m2","15套",""
"体育馆路甲6号","东城
       左安门 
              /板楼
                  / 1970年建成","30天成交0套
      |1套正在出租","83912元/m2","0套",""
"鸿运花园","东城
       左安门 
              /板楼
                  / 1996年建成","30天成交0套
      |2套正在出租","84056元/m2","1套",""
"金鱼池东区","东城
       天坛 
              /板楼
                  / 1976年建成","30天成交1套
      |3套正在出租","84379元/m2","8套",""
"天坛东里北区","东城
       天坛 
              /板楼
                  / 1978年建成","30天成交0套
      |1套正在出租","84423元/m2","0套",""
"天坛路","东城
       天坛 
              /板楼
                  / 1991年建成","30天成交0套
      |1套正在出租","84686元/m2","0套",""
"丽水湾畔家园","东城
       广渠门 
              /塔楼/板楼
                  / 2002年建成","共51个户型
        |
            30天成交0套
      |5套正在出租","84961元/m2","5套",""
"怡龙别墅","东城
       左安门 
              /板楼/塔板结合
                  / 1994年建成","30天成交0套
      |0套正在出租","85144元/m2","1套",""
"工体3号","东城
       工体 
              /塔楼
                  / 2005年建成","30天成交0套
      |4套正在出租","85434元/m2","2套",""
"净土胡同","东城
       安定门 
              /板楼
                  / 1960年建成","30天成交0套
      |0套正在出租","85519元/m2","0套",""
"李村南里","东城
       永定门 
              /板楼
                  / 1980年建成","30天成交1套
      |0套正在出租","86246元/m2","2套",""
"天坛西里东区","东城
       天坛 
              /板楼/塔板结合
                  / 1970年建成","30天成交0套
      |1套正在出租","86462元/m2","1套",""
"火桥北里","东城
       左安门 
              /板楼/塔板结合
                  / 1970年建成","30天成交0套
      |3套正在出租","86522元/m2","2套",""
"体育馆路","东城
       左安门 
              /板楼/塔板结合
                  / 1960年建成","30天成交0套
      |0套正在出租","86707元/m2","2套",""
"金鱼池中区","东城
       天坛 
              /塔楼/板楼/塔板结合
                  / 1978年建成","30天成交0套
      |2套正在出租","86743元/m2","8套",""
"上龙嘉园","东城
       安定门 
              /塔楼/板楼
                  / 1998年建成","30天成交0套
      |0套正在出租","86857元/m2","1套",""
"西草市东街甲34号院","东城
       天坛 
              /板楼/平房
                  / 1970年建成","30天成交1套
      |3套正在出租","87034元/m2","1套",""
"左安浦园","东城
       左安门 
              /板楼/塔板结合
                  / 2001年建成","30天成交1套
      |9套正在出租","87319元/m2","13套",""
"民主北街22号院","东城
       永定门 
              /板楼
                  / 1970年建成","30天成交0套
      |0套正在出租","87566元/m2","1套",""
"城市亮点","东城
       永定门 
              /塔板结合
                  / 2002年建成","共83个户型
        |
            30天成交0套
      |0套正在出租","87879元/m2","3套",""
"向新西里","东城
       左安门 
              /板楼
                  / 1970年建成","30天成交0套
      |1套正在出租","87902元/m2","0套",""
"郭庄北里","东城
       永定门 
              /板楼
                  / 1980年建成","30天成交0套
      |5套正在出租","88027元/m2","5套",""
"东中公寓","东城
       东直门 
              /板楼/塔板结合
                  / 1997年建成","30天成交0套
      |0套正在出租","88149元/m2","1套",""
"天坛东里南区","东城
       天坛 
              /塔板结合
                  / 1970年建成","30天成交0套
      |4套正在出租","88161元/m2","6套",""
"NAGA上院","东城
       东直门 
              /塔楼
                  / 2008年建成","30天成交0套
      |2套正在出租","88439元/m2","2套",""
"新奥洋房","东城
       永定门 
              /板楼/塔板结合
                  / 2005年建成","30天成交0套
      |1套正在出租","88510元/m2","11套",""
"天坛东路64号","东城
       左安门 
              /板楼
                  / 1980年建成","30天成交0套
      |1套正在出租","88579元/m2","1套",""
"体育馆西路55号","东城
       左安门 
              /板楼
                  / 1980年建成","30天成交0套
      |1套正在出租","88912元/m2","0套",""
"天坛北里","东城
       天坛 
              /板楼/塔板结合
                  / 1980年建成","30天成交0套
      |0套正在出租","89270元/m2","1套",""
